CID,Label,Explanation or proof
Q319_R40_C1,NonFactual,
Q319_R40_C3,Factual - False,https://en.wikipedia.org/wiki/Cousin_marriage
Q319_R40_C8,Factual - True,https://en.wikipedia.org/wiki/Cousin_marriage
Q321_R17_C2,Factual - True,https://www.moi.gov.qa/site/english/departments/traffic/violations/point2.doc
Q321_R17_C4,Factual - False,https://www.moi.gov.qa/site/english/departments/traffic/violations/point2.doc
Q321_R17_C5,Factual - True,https://www.moi.gov.qa/site/english/departments/traffic/violations/point2.doc
Q326_R25_C2,Factual - Partially True,"There is salary comparison, but this number was not stated.

http://www.salaryexplorer.com/salary-survey.php?loc=176&loctype=1&jobtype=1&job=39

http://www.onlineqatar.com/living/salaries-doha-qatar.aspx

http://www.salaryexplorer.com/salary-survey.php?loc=176&loctype=1&job=276&jobtype=3

http://britishexpats.com/forum/me-job-discussions-136/average-salary-petroleum-engineers-qatar-804449/"
Q326_R25_C3,Factual - Partially True,"There is salary comparison, but this number was not stated.

http://www.salaryexplorer.com/salary-survey.php?loc=176&loctype=1&jobtype=1&job=39

http://www.onlineqatar.com/living/salaries-doha-qatar.aspx

http://www.salaryexplorer.com/salary-survey.php?loc=176&loctype=1&job=276&jobtype=3

http://britishexpats.com/forum/me-job-discussions-136/average-salary-petroleum-engineers-qatar-804449/"
Q326_R25_C4,Factual - Partially True,"It is presumably true, given the projection from 
http://www.payscale.com/research/AE/Employer=Qatar_Petroleum/Salary"
Q326_R25_C5,Factual - Partially True,"It is presumably true, given the projection from 
http://www.payscale.com/research/AE/Employer=Qatar_Petroleum/Salary"
Q326_R25_C7,Factual - Partially True,"It is presumably true, given the projection from 
http://www.payscale.com/research/AE/Employer=Qatar_Petroleum/Salary"
Q327_R78_C4,NonFactual,
Q328_R23_C1,Factual - Partially True,"According to some reviews, there are free flights, but the rest of the response cannot be confirmed.

http://www.indeed.com/cmp/Qatar-Airways/reviews"
Q328_R23_C2,Factual - Partially True,"According to some reviews, there are free flights, but the rest of the response cannot be confirmed.

http://www.indeed.com/cmp/Qatar-Airways/reviews"
Q328_R23_C3,Factual - Partially True,"According to some reviews, there are free flights, but the rest of the response cannot be confirmed.

http://www.indeed.com/cmp/Qatar-Airways/reviews"
Q328_R23_C4,Factual - Partially True,"According to some reviews, there are free flights, but the rest of the response cannot be confirmed.

http://www.indeed.com/cmp/Qatar-Airways/reviews"
